"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0051344"	59.1489377066126	-1.63177345344634	0.289208861964753	-5.64219727694655	1.67893565368639e-08	4.94036785540631e-08	"CG31344"	"Q95U32"	"CG6572"
"FBgn0051357"	62.4423043303658	-1.19758806200252	0.254615109273353	-4.70352315469544	2.55710080908296e-06	6.21646502004177e-06	"CG31357"	"Q8MSB1"	"CG13638"
"FBgn0051358"	8.460776894572	-2.47968839744257	0.691204693659918	-3.58748778789776	0.000333879365116963	0.000646511861544665	"CG31358"	"Q9VGD9"	"CG17424"
"FBgn0051360"	513.582175136742	-2.14394434674407	0.164497493859523	-13.0332948936897	7.91159504842134e-39	8.93531864957056e-38	"CG31360"	"Q8MZ28"	"BcDNA:RE06652"
"FBgn0051373"	21.9169206288167	-4.46532150850195	0.839973581048996	-5.31602613373323	1.06057923884306e-07	2.91851598794053e-07	"CG31373"	"Q8INL3"	"CG6482"
"FBgn0051390"	181.632489794471	-1.82637376287229	0.177999565594083	-10.2605517984084	1.06098712762563e-24	7.42874551124728e-24	"MED7"	"Q9GYV9"	"CG31390"
"FBgn0051414"	44.6597924683391	-2.67706408632594	0.42062437098697	-6.36450065897126	1.95926080862757e-10	6.65480377702101e-10	"Gba1b"	"Q8IMY3"	"CG10299"
"FBgn0051415"	619.470097637869	-0.623828154107932	0.226500276714423	-2.75420482110258	0.00588349352924298	0.00981606361667431	"CG31415"	"Q8INN3"	"Dmel\CG31415"
"FBgn0051431"	53.2120438953268	-3.34589281202542	0.416104476894753	-8.04099210129794	8.91140026584301e-16	4.17573564753377e-15	"CG31431"	"Q8IN19"	"CG13414"
"FBgn0051441"	28.1114383626905	-1.4223290789883	0.310781807148102	-4.57661628278805	4.72557086696324e-06	1.11707858052571e-05	"CG31441"	"A0A0B4LI36"	"CG5135"
"FBgn0051450"	453.398816826435	-2.38370022545026	0.153411452480463	-15.5379548717449	1.92013818962491e-54	3.35430183600518e-53	"mRpS18A"	"Q9VHQ0"	"BcDNA:SD13983"
"FBgn0051453"	188.445439487136	-1.20654389055072	0.161769475835616	-7.45841503360474	8.75694606042094e-14	3.70188308215775e-13	"pch2"	"Q8SX76"	"CG11743"
"FBgn0051460"	267.788763890061	-3.57190194068622	0.21698763386732	-16.4613156843321	6.95716616194514e-61	1.40077867947224e-59	"CG31460"	"A0A0B4LGZ4"	"BcDNA:RE67710"
"FBgn0051472"	143.537003174124	-2.43898033985598	0.224022211126055	-10.887225546058	1.32619025823309e-27	1.03213307212872e-26	"sgll"	"Q9VHZ5"	"CG2649"
"FBgn0051477"	920.393751995816	-3.44403399154764	0.138832725203396	-24.8070761882832	7.519648631251e-136	6.66394554978236e-134	"ATPsynepsilonL"	"Q9VH24"	"ATPE"
"FBgn0051482"	656.282698458009	-0.909773017923634	0.135577081039217	-6.71037472521241	1.941252446528e-11	7.07982756181931e-11	"CG31482"	"Q9VI35"	"CG2337"
"FBgn0051526"	89.516240620771	-0.591003910053899	0.182001054521327	-3.24725541622972	0.00116523767741221	0.00211847119518743	"CR31526"	NA	"CG31526"
"FBgn0051548"	209.29752446754	-4.25032858203883	0.339187983091401	-12.5308937636906	5.05893255858093e-36	5.24513238204365e-35	"CG31548"	"Q8IPP8"	"BcDNA:RH24570"
"FBgn0051549"	270.078447379346	-1.34973586729691	0.205287492892406	-6.57485679365926	4.87000165376976e-11	1.72784015424952e-10	"CG31549"	"Q8SX57"	"CG11005"
"FBgn0051609"	297.361298873791	-2.35061525218161	0.292476271764501	-8.03694343476281	9.21071623801682e-16	4.30767742086912e-15	"CG31609"	"Q8IPF1"	"Dmel\CG31609"
"FBgn0051648"	111.280674446965	-3.055852877166	0.247869286290421	-12.3284854001054	6.36315198440728e-35	6.32719314026935e-34	"CG31648"	"Q9VMQ6"	"CG6922"
"FBgn0051658"	48.0781235909313	-1.8231471548192	0.276472337433084	-6.59432032783555	4.27208428408309e-11	1.52237673299245e-10	"Nnf1b"	"Q8IPW3"	"CG31658"
"FBgn0051673"	84.1783889617115	-2.59569334497398	0.355852864596377	-7.29428818261198	3.00242171948271e-13	1.22694049465633e-12	"CG31673"	"X2J9A5"	"BcDNA:LD14730"
"FBgn0051674"	24.9191843850384	-3.57937471119694	0.497529912561922	-7.19429047545247	6.2786401393602e-13	2.50753190565698e-12	"CG31674"	"Q8INU6"	"CG9332"
"FBgn0051676"	1830.86286907294	-5.73990848063912	0.278200271162566	-20.6322893096139	1.40822991880872e-94	5.69910648141889e-93	"CG31676"	"Q9VII5"	"BcDNA:RH34376"
"FBgn0051710"	70.2978520215234	-3.56613853945405	0.365453119069459	-9.75812861724751	1.70268009733813e-22	1.09783531926618e-21	"CG31710"	"M9PCH5"	"Dmel\CG31710"
"FBgn0051712"	229.389566490395	-0.764860237702032	0.152471104933794	-5.0164274603647	5.26411385206875e-07	1.360128115546e-06	"CG31712"	"M9PB85"	"CG5879"
"FBgn0051713"	139.531335690931	-4.08231121942363	0.319690795149907	-12.7695613428888	2.42517326984411e-37	2.61724699281576e-36	"Apf"	"Q4V6M1"	"CG31713"
"FBgn0051715"	818.361247570314	-3.35863842978745	0.25179280813865	-13.3388973839873	1.37477877904718e-40	1.6331887628583e-39	"CG31715"	"M9PB89"	"BcDNA:RE44624"
"FBgn0051717"	259.164918112626	-2.50158273679615	0.228484321070629	-10.9485969324909	6.74848148492432e-28	5.30312710087159e-27	"CG31717"	"Q8T8T9"	"BcDNA:AT30094"
"FBgn0051730"	178.912154206582	-0.627064475692632	0.15606375908052	-4.01800186915338	5.86937317533412e-05	0.000123887447360451	"CG31730"	"Q8IP77"	"Dmel\CG31730"
