"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"uniprot"	"alias"
"FBgn0030015"	307.964375404999	0.701384324280042	0.239707002934087	2.92600681538246	0.00343343415428987	0.00615274115392442	"CG10761"	"Q9W3I6"	"Dmel\CG10761"
"FBgn0030033"	1006.13491779424	3.74330329842866	0.332814832245178	11.2474052709016	2.38505405199297e-29	2.03009530340998e-28	"CG1387"	"Q9W3G3"	"Dmel\CG1387"
"FBgn0030037"	258.141142640407	2.06604481238443	0.17720021713571	11.6593808166846	2.05531563547096e-31	1.88741032776859e-30	"Miga"	"Q9W3F7"	"CG12125"
"FBgn0030038"	586.302763017712	1.25613544977188	0.207122252608702	6.0647054285615	1.32195713803607e-09	4.39762989221908e-09	"CG1440"	"A8JV24"	"Dmel\CG1440"
"FBgn0030055"	69.509629185564	3.5668045707583	0.238778946283145	14.9376845248692	1.87373574842629e-50	2.94301737416808e-49	"CG12772"	"Q9W3C9"	"Dmel\CG12772"
"FBgn0030066"	160.18376969406	0.936068711658427	0.223225568066074	4.19337587431452	2.74833489561438e-05	6.31182015205249e-05	"CG1885"	"Q9W3B3"	"Dmel\CG1885"
"FBgn0030091"	183.991083635793	1.26088328604388	0.417170532993173	3.02246488263952	0.0025072517222632	0.00458428635747619	"CG7065"	"Q7YZA2"	"Dmel\CG7065"
"FBgn0030093"	572.203386629203	2.91430750751416	0.156419182838732	18.6313945299075	1.78804240194362e-77	5.37726211447072e-76	"Bap111"	"Q9W384"	"BAF57"
"FBgn0030104"	137.134972717247	0.813385147588551	0.18503259222117	4.39590202906692	1.10313684268484e-05	2.62859738462511e-05	"CG15368"	"Q9W371"	"Dmel\CG15368"
"FBgn0030109"	400.298831743618	1.29104272407768	0.269236341607681	4.79520229835439	1.62510746559833e-06	4.21332764982806e-06	"CG12121"	"Q9W366"	"Dmel\CG12121"
"FBgn0030114"	464.203225430115	0.731126688624236	0.22680658677089	3.22356902871956	0.00126603780602132	0.00240924963206127	"CG17754"	"X2JD28"	"BcDNA:LP02641"
"FBgn0030116"	334.149860442287	1.43239915761606	0.366248187727054	3.91100681345502	9.19121790314955e-05	0.000200147128361137	NA	NA	NA
"FBgn0030121"	116.709447842032	1.10661217878608	0.30440740122232	3.63529984600434	0.00027765749898365	0.000571480914628851	"Cfp1"	"M9MS35"	"CG17446"
"FBgn0030141"	156.93229005176	0.656670406396818	0.198544472061999	3.30742225949137	0.000941588424272405	0.00182410299075578	"Gga"	"Q9W329"	"CG3002"
"FBgn0030170"	13.235058919915	2.6430393830437	0.433697378655572	6.09420188620212	1.09984786541066e-09	3.68775938175076e-09	"CG2990"	"Q9W2Z4"	"Dmel\CG2990"
"FBgn0030177"	108.189780535962	1.65441441011888	0.313391351089027	5.27906850131578	1.29842261075026e-07	3.69716880256486e-07	"CG2972"	"Q9W2Y4"	"Dmel\CG2972"
"FBgn0030189"	128.0144375814	1.0727608114547	0.276808589101673	3.87546071072482	0.000106423151163309	0.000230401946675802	"CG2909"	"Q9W2W5"	"Dmel\CG2909"
"FBgn0030191"	1611.31196819893	1.30821656805796	0.428027264276585	3.05638606986635	0.00224022598873668	0.00412817017904126	"CG15306"	"Q9W2W2"	"Dmel\CG15306"
"FBgn0030195"	257.948971355422	1.04990102921784	0.316497376335229	3.31725033987582	0.000909081217539958	0.00176435995286735	"CG2898"	"Q9W2V8"	"Dmel\CG2898"
"FBgn0030207"	145.89397850978	1.08195518664858	0.219893760969151	4.92035418322015	8.63877403414728e-07	2.29409251448761e-06	"CG2887"	"Q9W2U5"	"Dmel\CG2887"
"FBgn0030218"	333.181757539281	0.914909927916344	0.240163435642386	3.80953047856413	0.000139230943157627	0.000297922761695067	"CG1628"	"Q9W2T2"	"Dmel\CG1628"
"FBgn0030222"	1.45816586178761	5.73916822217724	1.6630194412899	3.45105299414042	0.000558403912776999	0.00111303660390339	"CG9806"	"Q9W2S8"	"Dmel\CG9806"
