gsm	title	source name	organism
GSM2647191	dwil_HD_m_r1	head	Drosophila willistoni
GSM2647192	dwil_HD_m_r2	head	Drosophila willistoni
GSM2647193	dwil_HD_m_r3	head	Drosophila willistoni
GSM2647194	dwil_RE_f_r1	reproductive system without gonad	Drosophila willistoni
GSM2647195	dwil_RE_f_r2	reproductive system without gonad	Drosophila willistoni
GSM2647196	dwil_RE_f_r3	reproductive system without gonad	Drosophila willistoni
GSM2647197	dwil_RE_m_r1	reproductive system without gonad	Drosophila willistoni
GSM2647198	dwil_RE_m_r2	reproductive system without gonad	Drosophila willistoni
GSM2647199	dwil_RE_m_r3	reproductive system without gonad	Drosophila willistoni
GSM2647200	dwil_TX_f_r1	thorax without digestive system	Drosophila willistoni
GSM2647201	dwil_TX_f_r2	thorax without digestive system	Drosophila willistoni
GSM2647202	dwil_TX_f_r3	thorax without digestive system	Drosophila willistoni
GSM2647203	dwil_TX_m_r1	thorax without digestive system	Drosophila willistoni
GSM2647204	dwil_TX_m_r2	thorax without digestive system	Drosophila willistoni
GSM2647205	dwil_TX_m_r3	thorax without digestive system	Drosophila willistoni
GSM2647206	dwil_WB_f_r1	whole body	Drosophila willistoni
GSM2647207	dwil_WB_f_r2	whole body	Drosophila willistoni
GSM2647208	dwil_WB_f_r3	whole body	Drosophila willistoni
GSM2647209	dwil_WB_m_r1	whole body	Drosophila willistoni
GSM2647210	dwil_WB_m_r2	whole body	Drosophila willistoni
GSM2647211	dwil_WB_m_r3	whole body	Drosophila willistoni
GSM2647212	dyak_AC_f_r1	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647213	dyak_AC_f_r2	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647214	dyak_AC_f_r3	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647215	dyak_AC_m_r1	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647216	dyak_AC_m_r2	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647217	dyak_AC_m_r3	abdomen without digestive or reproductive system	Drosophila yakuba
GSM2647218	dyak_DG_f_r1	digestive plus excretory system	Drosophila yakuba
GSM2647219	dyak_DG_f_r2	digestive plus excretory system	Drosophila yakuba
GSM2647220	dyak_DG_f_r3	digestive plus excretory system	Drosophila yakuba
GSM2647221	dyak_DG_m_r1	digestive plus excretory system	Drosophila yakuba
GSM2647222	dyak_DG_m_r2	digestive plus excretory system	Drosophila yakuba
GSM2647223	dyak_DG_m_r3	digestive plus excretory system	Drosophila yakuba
GSM2647224	dyak_GO_f_r1	gonad	Drosophila yakuba
GSM2647225	dyak_GO_f_r2	gonad	Drosophila yakuba
GSM2647226	dyak_GO_f_r3	gonad	Drosophila yakuba
GSM2647227	dyak_GO_m_r1	gonad	Drosophila yakuba
GSM2647228	dyak_GO_m_r2	gonad	Drosophila yakuba
GSM2647229	dyak_GO_m_r3	gonad	Drosophila yakuba
GSM2647230	dyak_HD_f_r1	head	Drosophila yakuba
GSM2647231	dyak_HD_f_r2	head	Drosophila yakuba
GSM2647232	dyak_HD_f_r3	head	Drosophila yakuba
GSM2647233	dyak_HD_m_r1	head	Drosophila yakuba
GSM2647234	dyak_HD_m_r2	head	Drosophila yakuba
GSM2647235	dyak_HD_m_r3	head	Drosophila yakuba
GSM2647236	dyak_RE_f_r1	reproductive system without gonad	Drosophila yakuba
GSM2647237	dyak_RE_f_r2	reproductive system without gonad	Drosophila yakuba
GSM2647238	dyak_RE_f_r3	reproductive system without gonad	Drosophila yakuba
GSM2647239	dyak_RE_m_r1	reproductive system without gonad	Drosophila yakuba
GSM2647240	dyak_RE_m_r2	reproductive system without gonad	Drosophila yakuba
