samplename	srx	srr	sex	strain	tissue	replicate	plate	row	col	group
w1118_WB_m_r2_SRR5639657	SRX2878057	SRR5639657	male	w1118	whole_body	2	1	A	2	male_whole_body
w1118_WB_m_r3_SRR5639658	SRX2878058	SRR5639658	male	w1118	whole_body	3	1	A	3	male_whole_body
orgR_AC_f_r4_SRR6181112	SRX3291720	SRR6181112	female	Oregon-R	abdomen_without_digestive_or_reproductive_system	4	2	D	6	female_abdomen_without_digestive_or_reproductive_system
orgR_AC_m_r4_SRR6181113	SRX3291721	SRR6181113	male	Oregon-R	abdomen_without_digestive_or_reproductive_system	4	2	D	2	male_abdomen_without_digestive_or_reproductive_system
orgR_DG_f_r4_SRR6181114	SRX3291722	SRR6181114	female	Oregon-R	digestive_plus_excretory_system	4	2	H	7	female_digestive_plus_excretory_system
orgR_DG_m_r4_SRR6181115	SRX3291723	SRR6181115	male	Oregon-R	digestive_plus_excretory_system	4	2	H	1	male_digestive_plus_excretory_system
orgR_GE_f_r4_SRR6181116	SRX3291724	SRR6181116	female	Oregon-R	genitalia	4	2	G	5	female_genitalia
orgR_GE_m_r4_SRR6181117	SRX3291725	SRR6181117	male	Oregon-R	genitalia	4	2	G	1	male_genitalia
orgR_GO_f_r4_SRR6181118	SRX3291726	SRR6181118	female	Oregon-R	ovary	4	2	E	7	female_ovary
orgR_GO_m_r4_SRR6181119	SRX3291727	SRR6181119	male	Oregon-R	testes	4	2	E	1	male_testes
orgR_HD_f_r4_SRR6181120	SRX3291728	SRR6181120	female	Oregon-R	head	4	2	B	8	female_head
orgR_HD_m_r4_SRR6181121	SRX3291729	SRR6181121	male	Oregon-R	head	4	2	B	2	male_head
orgR_RE_f_r4_SRR6181122	SRX3291730	SRR6181122	female	Oregon-R	reproductive_system_without_gonad_and_genitalia	4	2	F	7	female_reproductive_system_without_gonad_and_genitalia
orgR_RE_m_r4_SRR6181123	SRX3291731	SRR6181123	male	Oregon-R	reproductive_system_without_gonad_and_genitalia	4	2	F	2	male_reproductive_system_without_gonad_and_genitalia
orgR_TX_f_r4_SRR6181124	SRX3291732	SRR6181124	female	Oregon-R	thorax_without_digestive_system	4	2	C	6	female_thorax_without_digestive_system
orgR_TX_m_r4_SRR6181125	SRX3291733	SRR6181125	male	Oregon-R	thorax_without_digestive_system	4	2	C	1	male_thorax_without_digestive_system
orgR_WB_f_r4_SRR6181126	SRX3291734	SRR6181126	female	Oregon-R	whole_body	4	2	A	6	female_whole_body
orgR_WB_m_r4_SRR6181127	SRX3291735	SRR6181127	male	Oregon-R	whole_body	4	2	A	3	male_whole_body
w1118_AC_f_r4_SRR6181128	SRX3291736	SRR6181128	female	w1118	abdomen_without_digestive_or_reproductive_system	4	1	D	8	female_abdomen_without_digestive_or_reproductive_system
w1118_AC_m_r4_SRR6181129	SRX3291737	SRR6181129	male	w1118	abdomen_without_digestive_or_reproductive_system	4	1	D	2	male_abdomen_without_digestive_or_reproductive_system
w1118_DG_f_r4_SRR6181130	SRX3291738	SRR6181130	female	w1118	digestive_plus_excretory_system	4	1	H	5	female_digestive_plus_excretory_system
w1118_DG_m_r4_SRR6181131	SRX3291739	SRR6181131	male	w1118	digestive_plus_excretory_system	4	1	H	4	male_digestive_plus_excretory_system
w1118_GE_f_r4_SRR6181132	SRX3291740	SRR6181132	female	w1118	genitalia	4	1	G	7	female_genitalia
w1118_GE_m_r4_SRR6181133	SRX3291741	SRR6181133	male	w1118	genitalia	4	1	G	4	male_genitalia
w1118_GO_f_r4_SRR6181134	SRX3291742	SRR6181134	female	w1118	ovary	4	1	E	6	female_ovary
w1118_GO_m_r4_SRR6181135	SRX3291743	SRR6181135	male	w1118	testes	4	1	E	1	male_testes
w1118_HD_f_r4_SRR6181136	SRX3291744	SRR6181136	female	w1118	head	4	1	B	6	female_head
w1118_HD_m_r4_SRR6181137	SRX3291745	SRR6181137	male	w1118	head	4	1	B	1	male_head
w1118_RE_f_r4_SRR6181138	SRX3291746	SRR6181138	female	w1118	reproductive_system_without_gonad_and_genitalia	4	1	F	6	female_reproductive_system_without_gonad_and_genitalia
w1118_RE_m_r4_SRR6181139	SRX3291747	SRR6181139	male	w1118	reproductive_system_without_gonad_and_genitalia	4	1	F	4	male_reproductive_system_without_gonad_and_genitalia
w1118_TX_f_r4_SRR6181140	SRX3291748	SRR6181140	female	w1118	thorax_without_digestive_system	4	1	C	5	female_thorax_without_digestive_system
w1118_TX_m_r4_SRR6181141	SRX3291749	SRR6181141	male	w1118	thorax_without_digestive_system	4	1	C	2	male_thorax_without_digestive_system
w1118_WB_f_r4_SRR6181142	SRX3291750	SRR6181142	female	w1118	whole_body	4	1	A	7	female_whole_body
w1118_WB_m_r4_SRR6181143	SRX3291751	SRR6181143	male	w1118	whole_body	4	1	A	4	male_whole_body
